time angle x y
5.169	0.626	-0.171	-0.236
5.202	0.478	-0.133	-0.256
5.236	0.313	-0.088	-0.272
5.269	0.140	-0.039	-0.281
5.302	-0.038	0.011	-0.282
5.336	-0.214	0.060	-0.274
5.369	-0.384	0.105	-0.260
5.402	-0.539	0.144	-0.240
5.436	-0.676	0.175	-0.218
5.469	-0.790	0.198	-0.197
5.503	-0.876	0.214	-0.179
5.536	-0.930	0.224	-0.167
5.569	-0.949	0.225	-0.161
5.603	-0.945	0.226	-0.163
5.636	-0.905	0.220	-0.172
5.669	-0.830	0.206	-0.188
5.703	-0.725	0.186	-0.209
5.736	-0.593	0.157	-0.232
5.769	-0.439	0.119	-0.255
5.803	-0.267	0.074	-0.272
5.836	-0.086	0.024	-0.283
5.869	0.098	-0.028	-0.285
5.903	0.278	-0.079	-0.278
5.936	0.444	-0.125	-0.263
5.969	0.597	-0.165	-0.243
6.003	0.728	-0.197	-0.221
6.036	0.830	-0.220	-0.201
6.069	0.903	-0.235	-0.185
6.103	0.945	-0.243	-0.175
6.136	0.954	-0.244	-0.173
6.169	0.929	-0.239	-0.179
6.203	0.874	-0.228	-0.191
6.236	0.788	-0.210	-0.209
6.269	0.676	-0.184	-0.230
6.303	0.541	-0.150	-0.250
6.336	0.387	-0.109	-0.268
6.369	0.221	-0.063	-0.280
6.403	0.049	-0.014	-0.284
6.436	-0.123	0.035	-0.281
6.470	-0.291	0.081	-0.270
6.503	-0.450	0.122	-0.253
6.536	-0.593	0.157	-0.232
6.570	-0.716	0.183	-0.211
6.603	-0.815	0.203	-0.192
6.636	-0.886	0.216	-0.177
6.670	-0.923	0.223	-0.168
6.703	-0.930	0.224	-0.167
6.736	-0.907	0.220	-0.172
6.770	-0.850	0.210	-0.184
6.803	-0.762	0.193	-0.203
6.836	-0.644	0.168	-0.224
6.870	-0.503	0.136	-0.246
6.903	-0.343	0.095	-0.266
6.936	-0.169	0.048	-0.279
6.970	0.011	-0.003	-0.285
7.003	0.189	-0.054	-0.282
7.036	0.360	-0.102	-0.272
7.070	0.515	-0.144	-0.255
7.103	0.655	-0.180	-0.234
7.136	0.769	-0.207	-0.213
7.170	0.853	-0.225	-0.196
7.203	0.910	-0.236	-0.184
7.236	0.931	-0.239	-0.178
7.270	0.920	-0.237	-0.180
7.303	0.882	-0.230	-0.189
7.337	0.811	-0.215	-0.204
7.370	0.712	-0.192	-0.223
7.403	0.588	-0.162	-0.243
7.437	0.445	-0.125	-0.262
7.470	0.288	-0.082	-0.276
7.503	0.122	-0.035	-0.283
7.537	-0.046	0.013	-0.283
7.570	-0.214	0.060	-0.276
7.603	-0.375	0.103	-0.262
7.637	-0.522	0.140	-0.243
7.670	-0.652	0.170	-0.223
7.703	-0.759	0.193	-0.203
7.737	-0.839	0.208	-0.187
7.770	-0.890	0.218	-0.176
7.803	-0.909	0.220	-0.172
7.837	-0.900	0.219	-0.174
7.870	-0.858	0.212	-0.183
7.903	-0.783	0.198	-0.199
7.937	-0.678	0.176	-0.219
7.970	-0.550	0.147	-0.240
8.003	-0.398	0.109	-0.260
8.037	-0.232	0.065	-0.276
8.070	-0.058	0.016	-0.284
8.103	0.118	-0.034	-0.285
8.137	0.289	-0.082	-0.277
8.170	0.448	-0.126	-0.263
8.203	0.592	-0.164	-0.244
8.237	0.713	-0.194	-0.224
8.270	0.808	-0.215	-0.206
8.304	0.873	-0.228	-0.191
8.337	0.904	-0.234	-0.184
8.370	0.905	-0.233	-0.183
8.404	0.878	-0.228	-0.190
8.437	0.820	-0.216	-0.202
8.470	0.735	-0.198	-0.219
8.504	0.621	-0.170	-0.238
8.537	0.487	-0.136	-0.257
8.570	0.337	-0.095	-0.272
8.604	0.176	-0.050	-0.281
8.637	0.010	-0.003	-0.284
8.670	-0.156	0.044	-0.279
8.704	-0.316	0.088	-0.268
8.737	-0.465	0.126	-0.251
8.770	-0.599	0.158	-0.232
8.804	-0.712	0.183	-0.212
8.837	-0.799	0.201	-0.196
8.870	-0.858	0.212	-0.183
8.904	-0.887	0.217	-0.177
8.937	-0.886	0.217	-0.178
8.970	-0.854	0.212	-0.185
9.004	-0.790	0.200	-0.198
9.037	-0.698	0.181	-0.216
9.070	-0.579	0.154	-0.236
9.104	-0.438	0.120	-0.256
9.137	-0.281	0.079	-0.273
9.171	-0.113	0.032	-0.283
9.204	0.059	-0.017	-0.286
9.237	0.228	-0.065	-0.281
9.271	0.388	-0.110	-0.269
9.304	0.535	-0.149	-0.251
9.337	0.661	-0.181	-0.232
9.371	0.763	-0.205	-0.214
9.404	0.837	-0.220	-0.199
9.437	0.880	-0.229	-0.189
9.471	0.889	-0.230	-0.187
9.504	0.872	-0.227	-0.191
9.537	0.824	-0.217	-0.201
9.571	0.746	-0.200	-0.216
9.604	0.641	-0.175	-0.234
9.637	0.516	-0.143	-0.252
9.671	0.374	-0.105	-0.268
9.704	0.218	-0.062	-0.279
9.733	0.066	-0.019	-0.283
9.766	-0.098	0.028	-0.282
9.800	-0.258	0.072	-0.273
9.833	-0.410	0.112	-0.258
9.866	-0.547	0.146	-0.240
9.900	-0.665	0.174	-0.221
9.933	-0.759	0.194	-0.204
9.966	-0.826	0.207	-0.191
