x	y	dx	dy
-0.133	6.436	0.002	0.001
-0.300	6.470	0.002	0.001
-0.458	6.503	0.002	0.001
-0.600	6.536	0.002	0.001
-0.724	6.570	0.002	0.001
-0.821	6.603	0.002	0.001
-0.891	6.636	0.002	0.001
-0.928	6.670	0.002	0.001
-0.935	6.703	0.002	0.001
-0.911	6.736	0.002	0.001
-0.855	6.770	0.002	0.001
-0.767	6.803	0.002	0.001
-0.651	6.836	0.002	0.001
-0.511	6.870	0.002	0.001
-0.351	6.903	0.002	0.001
-0.178	6.936	0.002	0.001
0.001	6.970	0.002	0.001
0.178	7.003	0.002	0.001
0.347	7.036	0.002	0.001
0.504	7.070	0.002	0.001
0.644	7.103	0.002	0.001
0.756	7.136	0.002	0.001
0.843	7.170	0.002	0.001
0.898	7.203	0.002	0.001
0.923	7.236	0.002	0.001
0.912	7.270	0.002	0.001
0.871	7.303	0.002	0.001
0.799	7.337	0.002	0.001
0.700	7.370	0.002	0.001
0.576	7.403	0.002	0.001
0.433	7.437	0.002	0.001
0.275	7.470	0.002	0.001
0.111	7.503	0.002	0.001
-0.058	7.537	0.002	0.001
-0.225	7.570	0.002	0.001
-0.385	7.603	0.002	0.001
-0.530	7.637	0.002	0.001
-0.659	7.670	0.002	0.001
-0.765	7.703	0.002	0.001
-0.845	7.737	0.002	0.001
-0.896	7.770	0.002	0.001
-0.914	7.803	0.002	0.001
-0.905	7.837	0.002	0.001
-0.862	7.870	0.002	0.001
-0.788	7.903	0.002	0.001
-0.684	7.937	0.002	0.001
-0.556	7.970	0.002	0.001
-0.406	8.003	0.002	0.001
-0.240	8.037	0.002	0.001
-0.067	8.070	0.002	0.001
0.108	8.103	0.002	0.001
0.280	8.137	0.002	0.001
0.438	8.170	0.002	0.001
0.578	8.203	0.002	0.001
0.700	8.237	0.002	0.001
0.796	8.270	0.002	0.001
0.861	8.304	0.002	0.001
0.897	8.337	0.002	0.001
0.899	8.370	0.002	0.001
0.869	8.404	0.002	0.001
0.810	8.437	0.002	0.001
0.721	8.470	0.002	0.001
0.609	8.504	0.002	0.001
0.474	8.537	0.002	0.001
0.324	8.570	0.002	0.001
0.164	8.604	0.002	0.001
-0.001	8.637	0.002	0.001
-0.166	8.670	0.002	0.001
-0.325	8.704	0.002	0.001
-0.473	8.737	0.002	0.001
-0.604	8.770	0.002	0.001
-0.716	8.804	0.002	0.001
-0.803	8.837	0.002	0.001
-0.863	8.870	0.002	0.001
-0.892	8.904	0.002	0.001
-0.890	8.937	0.002	0.001
-0.859	8.970	0.002	0.001
-0.796	9.004	0.002	0.001
-0.703	9.037	0.002	0.001
-0.586	9.070	0.002	0.001
-0.446	9.104	0.002	0.001
-0.289	9.137	0.002	0.001
-0.122	9.171	0.002	0.001
0.049	9.204	0.002	0.001
0.218	9.237	0.002	0.001
0.377	9.271	0.002	0.001
0.523	9.304	0.002	0.001
0.648	9.337	0.002	0.001
0.749	9.371	0.002	0.001
0.823	9.404	0.002	0.001
0.868	9.437	0.002	0.001
0.881	9.471	0.002	0.001
0.863	9.504	0.002	0.001
0.814	9.537	0.002	0.001
0.735	9.571	0.002	0.001
0.630	9.604	0.002	0.001
0.503	9.637	0.002	0.001
0.362	9.671	0.002	0.001
0.207	9.704	0.002	0.001
0.055	9.733	0.002	0.001
-0.108	9.766	0.002	0.001
-0.266	9.800	0.002	0.001
-0.416	9.833	0.002	0.001
-0.554	9.866	0.002	0.001
-0.671	9.900	0.002	0.001
-0.765	9.933	0.002	0.001
-0.831	9.966	0.002	0.001
-0.868	10.000	0.002	0.001
-0.875	10.033	0.002	0.001
-0.854	10.066	0.002	0.001
-0.802	10.100	0.002	0.001
-0.718	10.133	0.002	0.001
-0.609	10.166	0.002	0.001
-0.476	10.200	0.002	0.001
-0.328	10.233	0.002	0.001
-0.166	10.266	0.002	0.001
0.001	10.300	0.002	0.001
0.166	10.333	0.002	0.001
0.324	10.366	0.002	0.001
0.469	10.400	0.002	0.001
0.597	10.433	0.002	0.001
0.706	10.467	0.002	0.001
0.787	10.500	0.002	0.001
0.839	10.533	0.002	0.001
0.862	10.567	0.002	0.001
0.852	10.600	0.002	0.001
0.810	10.633	0.002	0.001
0.741	10.667	0.002	0.001
0.645	10.700	0.002	0.001
0.527	10.733	0.002	0.001
0.390	10.767	0.002	0.001
0.242	10.800	0.002	0.001
0.084	10.833	0.002	0.001
-0.075	10.867	0.002	0.001
-0.231	10.900	0.002	0.001
-0.380	10.933	0.002	0.001
-0.515	10.967	0.002	0.001
-0.634	11.000	0.002	0.001
-0.732	11.033	0.002	0.001
-0.804	11.067	0.002	0.001
-0.846	11.100	0.002	0.001
-0.858	11.133	0.002	0.001
-0.844	11.167	0.002	0.001
-0.796	11.200	0.002	0.001
-0.721	11.233	0.002	0.001
-0.617	11.267	0.002	0.001
-0.493	11.300	0.002	0.001
-0.349	11.334	0.002	0.001
-0.192	11.367	0.002	0.001
-0.029	11.400	0.002	0.001
0.133	11.434	0.002	0.001
0.290	11.467	0.002	0.001
0.437	11.500	0.002	0.001
0.566	11.534	0.002	0.001
0.675	11.567	0.002	0.001
0.759	11.600	0.002	0.001
0.815	11.634	0.002	0.001
0.842	11.667	0.002	0.001
0.836	11.700	0.002	0.001
0.801	11.734	0.002	0.001
0.736	11.767	0.002	0.001
0.646	11.800	0.002	0.001
0.532	11.834	0.002	0.001
0.400	11.867	0.002	0.001
0.257	11.900	0.002	0.001
0.102	11.934	0.002	0.001
-0.054	11.967	0.002	0.001
-0.208	12.000	0.002	0.001
-0.356	12.034	0.002	0.001
-0.492	12.067	0.002	0.001
-0.611	12.100	0.002	0.001
-0.723	12.145	0.002	0.001
-0.790	12.178	0.002	0.001
-0.830	12.212	0.002	0.001
-0.840	12.245	0.002	0.001
-0.823	12.278	0.002	0.001
-0.777	12.312	0.002	0.001
-0.700	12.345	0.002	0.001
-0.600	12.378	0.002	0.001
-0.476	12.412	0.002	0.001
-0.333	12.445	0.002	0.001
-0.179	12.478	0.002	0.001
-0.017	12.512	0.002	0.001
0.143	12.545	0.002	0.001
0.299	12.578	0.002	0.001
0.441	12.612	0.002	0.001
0.568	12.645	0.002	0.001
0.673	12.678	0.002	0.001
0.752	12.712	0.002	0.001
0.803	12.745	0.002	0.001
0.826	12.778	0.002	0.001
0.819	12.812	0.002	0.001
0.781	12.845	0.002	0.001
0.717	12.878	0.002	0.001
0.627	12.912	0.002	0.001
0.514	12.945	0.002	0.001
0.383	12.978	0.002	0.001
0.239	13.012	0.002	0.001
0.086	13.045	0.002	0.001
-0.069	13.079	0.002	0.001
-0.222	13.112	0.002	0.001
-0.367	13.145	0.002	0.001
-0.498	13.179	0.002	0.001
-0.611	13.212	0.002	0.001
-0.703	13.245	0.002	0.001
-0.771	13.279	0.002	0.001
-0.811	13.312	0.002	0.001
-0.822	13.345	0.002	0.001
-0.806	13.379	0.002	0.001
-0.761	13.412	0.002	0.001
-0.688	13.445	0.002	0.001
-0.590	13.479	0.002	0.001
-0.470	13.512	0.002	0.001
-0.332	13.545	0.002	0.001
-0.180	13.579	0.002	0.001
-0.022	13.612	0.002	0.001
0.137	13.645	0.002	0.001
0.288	13.679	0.002	0.001
0.429	13.712	0.002	0.001
0.553	13.745	0.002	0.001
0.656	13.779	0.002	0.001
0.734	13.812	0.002	0.001
0.784	13.845	0.002	0.001
0.807	13.879	0.002	0.001
0.801	13.912	0.002	0.001
0.765	13.945	0.002	0.001
0.702	13.979	0.002	0.001
0.614	14.012	0.002	0.001
0.504	14.046	0.002	0.001
0.374	14.079	0.002	0.001
0.234	14.112	0.002	0.001
0.084	14.146	0.002	0.001
-0.069	14.179	0.002	0.001
-0.219	14.212	0.002	0.001
-0.360	14.246	0.002	0.001
-0.489	14.279	0.002	0.001
-0.601	14.312	0.002	0.001
-0.691	14.346	0.002	0.001
-0.757	14.379	0.002	0.001
-0.795	14.412	0.002	0.001
-0.805	14.446	0.002	0.001
-0.788	14.479	0.002	0.001
-0.744	14.512	0.002	0.001
-0.672	14.546	0.002	0.001
-0.575	14.579	0.002	0.001
-0.457	14.612	0.002	0.001
-0.322	14.646	0.002	0.001
-0.173	14.679	0.002	0.001
-0.018	14.712	0.002	0.001
0.138	14.746	0.002	0.001
0.288	14.779	0.002	0.001
0.426	14.812	0.002	0.001
0.544	14.846	0.002	0.001
0.644	14.879	0.002	0.001
0.718	14.913	0.002	0.001
0.767	14.946	0.002	0.001
0.788	14.979	0.002	0.001
0.781	15.013	0.002	0.001
0.746	15.046	0.002	0.001
0.683	15.079	0.002	0.001
0.596	15.113	0.002	0.001
0.488	15.146	0.002	0.001
0.361	15.179	0.002	0.001
0.234	15.206	0.002	0.001
0.088	15.239	0.002	0.001
-0.062	15.273	0.002	0.001
-0.209	15.306	0.002	0.001
-0.348	15.339	0.002	0.001
-0.475	15.373	0.002	0.001
-0.585	15.406	0.002	0.001
-0.675	15.439	0.002	0.001
-0.740	15.473	0.002	0.001
-0.777	15.506	0.002	0.001
-0.788	15.539	0.002	0.001
-0.773	15.573	0.002	0.001
-0.730	15.606	0.002	0.001
-0.660	15.640	0.002	0.001
-0.564	15.673	0.002	0.001
-0.448	15.706	0.002	0.001
-0.316	15.739	0.002	0.001
-0.171	15.772	0.002	0.001
-0.019	15.805	0.002	0.001
0.131	15.839	0.002	0.001
0.276	15.872	0.002	0.001
0.408	15.905	0.002	0.001
0.527	15.939	0.002	0.001
0.623	15.972	0.002	0.001
0.698	16.006	0.002	0.001
0.747	16.039	0.002	0.001
0.769	16.072	0.002	0.001
0.763	16.106	0.002	0.001
0.728	16.139	0.002	0.001
0.666	16.172	0.002	0.001
0.581	16.206	0.002	0.001
0.474	16.239	0.002	0.001
0.350	16.272	0.002	0.001
0.216	16.306	0.002	0.001
0.072	16.339	0.002	0.001
-0.073	16.372	0.002	0.001
-0.215	16.406	0.002	0.001
-0.349	16.439	0.002	0.001
-0.471	16.472	0.002	0.001
-0.577	16.506	0.002	0.001
-0.663	16.539	0.002	0.001
-0.725	16.572	0.002	0.001
-0.761	16.606	0.002	0.001
-0.770	16.639	0.002	0.001
-0.751	16.672	0.002	0.001
-0.707	16.706	0.002	0.001
-0.636	16.739	0.002	0.001
-0.541	16.772	0.002	0.001
-0.426	16.806	0.002	0.001
-0.294	16.839	0.002	0.001
-0.152	16.872	0.002	0.001
-0.005	16.906	0.002	0.001
0.142	16.939	0.002	0.001
0.282	16.973	0.002	0.001
0.410	17.006	0.002	0.001
0.525	17.039	0.002	0.001
0.618	17.073	0.002	0.001
0.689	17.106	0.002	0.001
0.733	17.139	0.002	0.001
0.751	17.173	0.002	0.001
0.740	17.206	0.002	0.001
0.702	17.239	0.002	0.001
0.638	17.273	0.002	0.001
0.551	17.306	0.002	0.001
0.445	17.339	0.002	0.001
0.323	17.373	0.002	0.001
0.190	17.406	0.002	0.001
0.050	17.439	0.002	0.001
-0.092	17.473	0.002	0.001
-0.230	17.506	0.002	0.001
-0.361	17.539	0.002	0.001
-0.478	17.573	0.002	0.001
-0.580	17.606	0.002	0.001
-0.660	17.639	0.002	0.001
-0.716	17.673	0.002	0.001
-0.747	17.706	0.002	0.001
-0.752	17.739	0.002	0.001
-0.731	17.773	0.002	0.001
-0.684	17.806	0.002	0.001
-0.608	17.840	0.002	0.001
-0.512	17.873	0.002	0.001
-0.396	17.906	0.002	0.001
-0.264	17.940	0.002	0.001
-0.123	17.973	0.002	0.001
0.021	18.006	0.002	0.001
0.162	18.040	0.002	0.001
0.298	18.073	0.002	0.001
0.422	18.106	0.002	0.001
0.530	18.140	0.002	0.001
0.618	18.173	0.002	0.001
0.684	18.206	0.002	0.001
0.722	18.240	0.002	0.001
0.735	18.273	0.002	0.001
0.718	18.306	0.002	0.001
0.676	18.340	0.002	0.001
0.608	18.373	0.002	0.001
0.518	18.406	0.002	0.001
0.410	18.440	0.002	0.001
0.287	18.473	0.002	0.001
0.156	18.506	0.002	0.001
0.017	18.540	0.002	0.001
-0.123	18.573	0.002	0.001
-0.257	18.606	0.002	0.001
-0.381	18.640	0.002	0.001
-0.493	18.673	0.002	0.001
-0.588	18.706	0.002	0.001
-0.661	18.740	0.002	0.001
-0.711	18.774	0.002	0.001
-0.735	18.807	0.002	0.001
-0.734	18.841	0.002	0.001
-0.706	18.874	0.002	0.001
-0.653	18.907	0.002	0.001
-0.575	18.941	0.002	0.001
-0.475	18.974	0.002	0.001
-0.359	19.007	0.002	0.001
-0.228	19.041	0.002	0.001
-0.090	19.074	0.002	0.001
0.052	19.107	0.002	0.001
0.190	19.141	0.002	0.001
0.320	19.174	0.002	0.001
0.436	19.207	0.002	0.001
0.538	19.241	0.002	0.001
0.619	19.274	0.002	0.001
0.679	19.308	0.002	0.001
0.712	19.341	0.002	0.001
0.718	19.374	0.002	0.001
0.696	19.408	0.002	0.001
0.647	19.441	0.002	0.001
0.576	19.474	0.002	0.001
0.484	19.508	0.002	0.001
0.374	19.541	0.002	0.001
0.252	19.574	0.002	0.001
0.121	19.608	0.002	0.001
-0.015	19.641	0.002	0.001
-0.151	19.674	0.002	0.001
-0.280	19.708	0.002	0.001
-0.399	19.741	0.002	0.001
-0.506	19.774	0.002	0.001
-0.593	19.808	0.002	0.001
-0.661	19.841	0.002	0.001
-0.705	19.874	0.002	0.001
-0.724	19.908	0.002	0.001
-0.716	19.941	0.002	0.001
-0.684	19.974	0.002	0.001
-0.626	20.008	0.002	0.001
-0.543	20.041	0.002	0.001
-0.440	20.074	0.002	0.001
-0.324	20.108	0.002	0.001
-0.194	20.141	0.002	0.001
-0.057	20.174	0.002	0.001
0.080	20.208	0.002	0.001
0.216	20.241	0.002	0.001
0.341	20.275	0.002	0.001
0.454	20.308	0.002	0.001
0.549	20.341	0.002	0.001
0.623	20.375	0.002	0.001
0.674	20.408	0.002	0.001
0.699	20.441	0.002	0.001
0.698	20.475	0.002	0.001
0.669	20.508	0.002	0.001
0.616	20.541	0.002	0.001
0.542	20.575	0.002	0.001
0.445	20.609	0.002	0.001
0.334	20.642	0.002	0.001
0.212	20.676	0.002	0.001
0.081	20.709	0.002	0.001
-0.053	20.742	0.002	0.001
-0.185	20.776	0.002	0.001
-0.310	20.809	0.002	0.001
-0.424	20.842	0.002	0.001
-0.522	20.876	0.002	0.001
-0.602	20.909	0.002	0.001
-0.662	20.942	0.002	0.001
-0.697	20.976	0.002	0.001
-0.707	21.009	0.002	0.001
-0.693	21.042	0.002	0.001
-0.653	21.076	0.002	0.001
-0.588	21.109	0.002	0.001
-0.503	21.142	0.002	0.001
-0.398	21.176	0.002	0.001
-0.277	21.209	0.002	0.001
-0.147	21.243	0.002	0.001
-0.011	21.276	0.002	0.001
0.122	21.309	0.002	0.001
0.253	21.343	0.002	0.001
0.370	21.376	0.002	0.001
0.476	21.409	0.002	0.001
0.563	21.443	0.002	0.001
0.628	21.476	0.002	0.001
0.671	21.509	0.002	0.001
0.688	21.543	0.002	0.001
0.679	21.576	0.002	0.001
0.644	21.609	0.002	0.001
0.584	21.643	0.002	0.001
0.504	21.676	0.002	0.001
0.404	21.709	0.002	0.001
0.292	21.743	0.002	0.001
0.168	21.776	0.002	0.001
0.038	21.809	0.002	0.001
-0.093	21.843	0.002	0.001
-0.221	21.876	0.002	0.001
-0.340	21.909	0.002	0.001
-0.447	21.943	0.002	0.001
-0.539	21.976	0.002	0.001
-0.613	22.009	0.002	0.001
-0.665	22.043	0.002	0.001
-0.690	22.076	0.002	0.001
-0.691	22.109	0.002	0.001
-0.668	22.143	0.002	0.001
-0.622	22.176	0.002	0.001
-0.552	22.210	0.002	0.001
-0.459	22.243	0.002	0.001
-0.352	22.276	0.002	0.001
-0.231	22.310	0.002	0.001
-0.101	22.343	0.002	0.001
0.032	22.376	0.002	0.001
0.162	22.410	0.002	0.001
0.287	22.443	0.002	0.001
0.400	22.476	0.002	0.001
0.499	22.510	0.002	0.001
0.577	22.543	0.002	0.001
0.633	22.576	0.002	0.001
0.666	22.610	0.002	0.001
0.674	22.643	0.002	0.001
0.655	22.676	0.002	0.001
0.612	22.710	0.002	0.001
0.547	22.743	0.002	0.001
0.460	22.776	0.002	0.001
0.358	22.810	0.002	0.001
0.242	22.843	0.002	0.001
0.119	22.876	0.002	0.001
-0.010	22.910	0.002	0.001
-0.137	22.943	0.002	0.001
-0.260	22.976	0.002	0.001
-0.374	23.010	0.002	0.001
-0.475	23.043	0.002	0.001
-0.558	23.077	0.002	0.001
-0.622	23.110	0.002	0.001
-0.661	23.143	0.002	0.001
-0.678	23.177	0.002	0.001
-0.672	23.210	0.002	0.001
-0.642	23.243	0.002	0.001
-0.587	23.277	0.002	0.001
-0.511	23.310	0.002	0.001
-0.414	23.343	0.002	0.001
-0.303	23.377	0.002	0.001
-0.179	23.410	0.002	0.001
-0.050	23.443	0.002	0.001
0.080	23.477	0.002	0.001
0.207	23.510	0.002	0.001
0.324	23.543	0.002	0.001
0.430	23.577	0.002	0.001
0.517	23.609	0.002	0.001
0.588	23.642	0.002	0.001
0.635	23.676	0.002	0.001
0.658	23.709	0.002	0.001
0.656	23.742	0.002	0.001
0.629	23.776	0.002	0.001
0.578	23.809	0.002	0.001
0.506	23.842	0.002	0.001
0.415	23.876	0.002	0.001
0.309	23.909	0.002	0.001
0.193	23.943	0.002	0.001
0.070	23.976	0.002	0.001
-0.056	24.009	0.002	0.001
-0.180	24.043	0.002	0.001
-0.297	24.076	0.002	0.001
-0.404	24.109	0.002	0.001
-0.496	24.143	0.002	0.001
-0.571	24.176	0.002	0.001
